subject,run,total_events,epochs_kept,ignored_non_target,artifact_rejections,target_events_estimated,bad_channels,status
50,4,30,15,15,0,15,None,ok
50,8,30,15,15,0,15,None,ok
50,12,30,15,15,0,15,None,ok
51,4,30,15,15,0,15,None,ok
51,8,30,15,15,0,15,None,ok
51,12,30,15,15,0,15,None,ok
52,4,30,14,15,1,15,C3..,ok
52,8,30,13,15,2,15,"Cp2.,Cpz.,Fcz.",ok
52,12,30,14,15,1,15,Cpz.,ok
53,4,30,14,15,1,15,Cp3.,ok
53,8,30,15,15,0,15,None,ok
53,12,30,14,15,1,15,Cp3.,ok
54,4,30,15,15,0,15,None,ok
54,8,30,10,15,5,15,"C4..,Cp2.,Cp3.,Cp4.,Cpz.",ok
54,12,30,14,15,1,15,Cp4.,ok
55,4,30,15,15,0,15,None,ok
55,8,30,15,15,0,15,None,ok
55,12,30,15,15,0,15,None,ok
56,4,30,14,15,1,15,Cp2.,ok
56,8,30,15,15,0,15,None,ok
56,12,30,15,15,0,15,None,ok
57,4,30,15,15,0,15,None,ok
57,8,30,15,15,0,15,None,ok
57,12,30,15,15,0,15,None,ok
58,4,30,15,15,0,15,None,ok
58,8,30,15,15,0,15,None,ok
58,12,30,15,15,0,15,None,ok
59,4,30,15,15,0,15,None,ok
59,8,30,15,15,0,15,None,ok
59,12,30,15,15,0,15,None,ok
60,4,30,15,15,0,15,None,ok
60,8,30,15,15,0,15,None,ok
60,12,30,14,15,1,15,Cp4.,ok
61,4,30,15,15,0,15,None,ok
61,8,30,14,15,1,15,Cp4.,ok
61,12,30,14,15,1,15,Cp4.,ok
62,4,30,15,15,0,15,None,ok
62,8,30,15,15,0,15,None,ok
62,12,30,15,15,0,15,None,ok
63,4,30,15,15,0,15,None,ok
63,8,30,13,15,2,15,C3..,ok
63,12,30,15,15,0,15,None,ok
64,4,30,15,15,0,15,None,ok
64,8,30,15,15,0,15,None,ok
64,12,30,15,15,0,15,None,ok
65,4,30,15,15,0,15,None,ok
65,8,30,15,15,0,15,None,ok
65,12,30,15,15,0,15,None,ok
66,4,30,15,15,0,15,None,ok
66,8,30,15,15,0,15,None,ok
66,12,30,15,15,0,15,None,ok
67,4,30,15,15,0,15,None,ok
67,8,30,15,15,0,15,None,ok
67,12,30,15,15,0,15,None,ok
68,4,30,15,15,0,15,None,ok
68,8,30,15,15,0,15,None,ok
68,12,30,15,15,0,15,None,ok
69,4,30,15,15,0,15,None,ok
69,8,30,15,15,0,15,None,ok
69,12,30,15,15,0,15,None,ok
70,4,30,15,15,0,15,None,ok
70,8,30,15,15,0,15,None,ok
70,12,30,15,15,0,15,None,ok
71,4,30,15,15,0,15,None,ok
71,8,30,15,15,0,15,None,ok
71,12,30,15,15,0,15,None,ok
72,4,30,15,15,0,15,None,ok
72,8,30,15,15,0,15,None,ok
72,12,30,15,15,0,15,None,ok
73,4,30,15,15,0,15,None,ok
73,8,30,15,15,0,15,None,ok
73,12,30,15,15,0,15,None,ok
74,4,30,15,15,0,15,None,ok
74,8,30,15,15,0,15,None,ok
74,12,30,15,15,0,15,None,ok
75,4,30,12,15,3,15,"Cp4.,Fc4.",ok
75,8,30,15,15,0,15,None,ok
75,12,30,14,15,1,15,Fc4.,ok
76,4,30,15,15,0,15,None,ok
76,8,30,15,15,0,15,None,ok
76,12,30,15,15,0,15,None,ok
77,4,30,15,15,0,15,None,ok
77,8,30,15,15,0,15,None,ok
77,12,30,15,15,0,15,None,ok
78,4,30,15,15,0,15,None,ok
78,8,30,15,15,0,15,None,ok
78,12,30,15,15,0,15,None,ok
79,4,30,15,15,0,15,None,ok
79,8,30,14,15,1,15,Fc3.,ok
79,12,30,11,15,4,15,"Cp3.,Cp4.,Fc3.",ok
80,4,30,15,15,0,15,None,ok
80,8,30,15,15,0,15,None,ok
80,12,30,15,15,0,15,None,ok
81,4,30,15,15,0,15,None,ok
81,8,30,15,15,0,15,None,ok
81,12,30,15,15,0,15,None,ok
82,4,30,15,15,0,15,None,ok
82,8,30,15,15,0,15,None,ok
82,12,30,15,15,0,15,None,ok
83,4,30,15,15,0,15,None,ok
83,8,30,8,15,7,15,Fc3.,ok
83,12,30,15,15,0,15,None,ok
84,4,30,14,15,1,15,Cpz.,ok
84,8,30,15,15,0,15,None,ok
84,12,30,15,15,0,15,None,ok
85,4,30,15,15,0,15,None,ok
85,8,30,15,15,0,15,None,ok
85,12,30,14,15,1,15,Fc2.,ok
86,4,30,14,15,1,15,"C1..,C3..,C4..,Cp1.,Cp3.,Cp4.,Fc2.,Fc3.,Fc4.",ok
86,8,30,15,15,0,15,None,ok
86,12,30,15,15,0,15,None,ok
87,4,30,15,15,0,15,None,ok
87,8,30,15,15,0,15,None,ok
87,12,30,15,15,0,15,None,ok
88,4,38,19,19,0,19,None,ok
88,8,38,17,19,2,19,"Cz..,Fc3.",ok
88,12,38,19,19,0,19,None,ok
89,4,30,15,15,0,15,None,ok
89,8,30,15,15,0,15,None,ok
89,12,30,15,15,0,15,None,ok
90,4,30,15,15,0,15,None,ok
90,8,30,15,15,0,15,None,ok
90,12,30,15,15,0,15,None,ok
91,4,30,14,15,1,15,Fcz.,ok
91,8,30,15,15,0,15,None,ok
91,12,30,15,15,0,15,None,ok
92,4,38,19,19,0,19,None,ok
92,8,38,19,19,0,19,None,ok
92,12,38,18,19,1,19,Cp3.,ok
93,4,30,15,15,0,15,None,ok
93,8,30,15,15,0,15,None,ok
93,12,30,15,15,0,15,None,ok
94,4,30,15,15,0,15,None,ok
94,8,30,14,15,1,15,Fc3.,ok
94,12,30,15,15,0,15,None,ok
95,4,30,0,15,15,15,C2..,ok
95,8,30,14,15,1,15,"C4..,Fc4.",ok
95,12,30,14,15,1,15,Cp2.,ok
96,4,30,15,15,0,15,None,ok
96,8,30,14,15,1,15,Fc3.,ok
96,12,30,13,15,2,15,"C1..,C2..,C3..,C4..,Cp1.,Cp2.,Cp3.,Cp4.,Cpz.,Fc1.,Fc2.,Fc3.,Fc4.",ok
97,4,30,14,15,1,15,Cp2.,ok
97,8,30,15,15,0,15,None,ok
97,12,30,15,15,0,15,None,ok
98,4,30,15,15,0,15,None,ok
98,8,30,15,15,0,15,None,ok
98,12,30,15,15,0,15,None,ok
99,4,30,14,15,1,15,Cp4.,ok
99,8,30,15,15,0,15,None,ok
99,12,30,14,15,1,15,Fc3.,ok
100,4,24,12,12,0,12,None,ok
100,8,24,12,12,0,12,None,ok
100,12,24,12,12,0,12,None,ok
101,4,30,15,15,0,15,None,ok
101,8,30,15,15,0,15,None,ok
101,12,30,15,15,0,15,None,ok
102,4,30,15,15,0,15,None,ok
102,8,30,15,15,0,15,None,ok
102,12,30,15,15,0,15,None,ok
103,4,30,15,15,0,15,None,ok
103,8,30,15,15,0,15,None,ok
103,12,30,13,15,2,15,"Cp2.,Cp3.,Cp4.",ok
104,4,30,15,15,0,15,None,ok
104,8,26,13,13,0,13,None,ok
104,12,30,15,15,0,15,None,ok
105,4,30,15,15,0,15,None,ok
105,8,30,15,15,0,15,None,ok
105,12,30,15,15,0,15,None,ok
106,4,30,15,15,0,15,None,ok
106,8,30,15,15,0,15,None,ok
106,12,30,15,15,0,15,None,ok
107,4,30,15,15,0,15,None,ok
107,8,30,15,15,0,15,None,ok
107,12,30,15,15,0,15,None,ok
108,4,30,15,15,0,15,None,ok
108,8,30,15,15,0,15,None,ok
108,12,30,15,15,0,15,None,ok
109,4,30,0,15,15,15,"C4..,Fc1.",ok
109,8,30,0,15,15,15,"C4..,Cp1.,Fc1.,Fc4.",ok
109,12,30,0,15,15,15,"C4..,Fc1.,Fc4.",ok
